iter	Passed	Remaining
298	1100	2581
299	1106	2580
300	1108	2573
301	1109	2565
302	1112	2559
303	1114	2551
304	1116	2545
305	1118	2537
306	1120	2529
307	1122	2522
308	1124	2515
309	1127	2509
310	1129	2502
311	1136	2507
312	1139	2501
313	1145	2502
314	1149	2498
315	1151	2493
316	1154	2487
317	1156	2480
318	1158	2473
319	1168	2482
320	1171	2477
321	1177	2478
322	1179	2473
323	1182	2467
324	1185	2461
325	1187	2455
326	1194	2458
327	1197	2454
328	1201	2450
329	1207	2452
330	1210	2446
331	1213	2441
332	1217	2437
333	1225	2444
334	1227	2437
335	1229	2429
336	1231	2422
337	1234	2417
338	1236	2410
339	1238	2403
340	1239	2396
341	1241	2388
342	1243	2381
343	1245	2374
344	1247	2368
345	1249	2362
346	1252	2357
347	1257	2356
348	1260	2351
349	1263	2346
350	1266	2341
351	1269	2336
352	1277	2341
353	1283	2342
354	1285	2335
355	1287	2328
356	1289	2321
357	1290	2315
358	1292	2308
359	1294	2301
360	1299	2299
361	1301	2293
362	1303	2287
363	1305	2280
364	1307	2273
365	1309	2267
366	1314	2267
367	1319	2265
368	1320	2258
369	1322	2252
370	1324	2245
371	1327	2241
372	1330	2235
373	1331	2229
374	1333	2223
375	1335	2216
376	1337	2210
377	1339	2203
378	1341	2198
379	1344	2194
380	1346	2187
381	1348	2181
382	1350	2175
383	1352	2169
384	1354	2163
385	1356	2157
386	1358	2151
387	1360	2145
388	1362	2139
389	1364	2134
390	1366	2128
391	1367	2121
392	1369	2115
393	1371	2109
394	1373	2103
395	1375	2098
396	1377	2092
397	1379	2086
398	1380	2079
399	1382	2073
400	1384	2068
401	1386	2062
402	1388	2056
403	1390	2050
404	1391	2044
405	1393	2038
406	1394	2032
407	1396	2026
408	1398	2020
409	1399	2014
410	1401	2008
411	1402	2002
412	1404	1996
413	1406	1990
414	1407	1984
415	1409	1978
416	1411	1972
417	1413	1967
418	1414	1961
419	1416	1955
420	1417	1950
421	1419	1944
422	1421	1938
423	1422	1932
424	1424	1927
425	1425	1921
426	1428	1916
427	1429	1910
428	1431	1905
429	1432	1899
430	1434	1893
