iter	RMSE
470	1.356848058
471	1.352603217
472	1.350754719
473	1.347407769
474	1.34414992
475	1.341796838
476	1.339086923
477	1.33735688
478	1.333639896
479	1.331625316
480	1.328405841
481	1.324904017
482	1.32305816
483	1.320232918
484	1.319001182
485	1.318046535
486	1.317567146
487	1.314288242
488	1.311668903
489	1.307289347
490	1.305338677
491	1.303474282
492	1.303192651
493	1.300767664
494	1.299514632
495	1.295350012
496	1.291706421
497	1.29063124
498	1.289629135
499	1.288173186
500	1.285135077
501	1.283624861
502	1.281448664
503	1.280920209
504	1.279528346
505	1.276340369
506	1.273527532
507	1.272368712
508	1.268814279
509	1.267171568
510	1.263985935
511	1.263159014
512	1.26071715
513	1.260454266
514	1.25846416
515	1.256991268
516	1.256288516
517	1.254538728
518	1.25156318
519	1.251005434
520	1.247677984
521	1.244351675
522	1.243765454
523	1.242805234
524	1.239562063
525	1.237297467
526	1.234427873
527	1.23134838
528	1.228221854
529	1.227271557
530	1.224924631
531	1.221562028
532	1.21946461
533	1.218480669
534	1.217636636
535	1.214851234
536	1.211735588
537	1.209607782
538	1.207809902
539	1.205377289
540	1.202521145
541	1.20226992
542	1.199659031
543	1.198468543
544	1.19595487
545	1.195177284
546	1.19231105
547	1.190375706
548	1.187482772
549	1.184485256
550	1.181978844
551	1.179298804
552	1.177281593
553	1.174557246
554	1.172001312
555	1.169313627
556	1.168367209
557	1.166247485
558	1.164069108
559	1.160871698
560	1.15942545
561	1.158485791
562	1.1564595
563	1.154955767
564	1.153104601
565	1.151533031
566	1.148911584
567	1.145803473
568	1.143444365
569	1.142711045
570	1.141386602
571	1.138867006
572	1.137677054
573	1.13727543
574	1.134382423
575	1.131395176
576	1.128580085
577	1.12588037
578	1.123940933
579	1.121152539
580	1.119393242
581	1.116738318
582	1.116000289
583	1.113083998
584	1.111316595
585	1.110735771
586	1.109571692
587	1.107564284
588	1.105332004
589	1.103773379
590	1.10133831
591	1.098930781
592	1.098063034
593	1.095827311
594	1.093302458
595	1.091154097
596	1.08863819
597	1.087613421
598	1.085969204
599	1.085761664
600	1.085046191
601	1.083993487
602	1.082034748
603	1.080800318
604	1.079506174
605	1.078738908
606	1.07812674
607	1.076805566
608	1.074484119
609	1.073584392
610	1.07149217
611	1.069232219
612	1.066818932
613	1.064578392
614	1.06347
615	1.062695975
616	1.06159872
617	1.059349269
618	1.056088003
619	1.053806871
620	1.053203576
621	1.050380809
622	1.048282795
623	1.04726539
624	1.04525722
625	1.044170912
626	1.043505258
627	1.042215286
628	1.041477568
629	1.040793818
630	1.038769043
631	1.037517995
632	1.035218147
633	1.033047639
634	1.030941756
635	1.029395162
636	1.02678872
637	1.024289657
638	1.022173989
639	1.019881701
640	1.017797836
641	1.016115616
642	1.013935458
643	1.012613208
644	1.01127654
645	1.009044827
646	1.006587337
647	1.005874398
648	1.003726412
649	1.001495721
650	0.9998642851
651	0.9984944234
652	0.9963582895
653	0.9945069019
654	0.994039139
655	0.9925213342
656	0.9917839085
657	0.9905051351
658	0.9900897379
659	0.989651539
660	0.9883406766
661	0.9875483025
662	0.9870637348
663	0.9858631714
664	0.983701266
665	0.9827735722
666	0.9807520289
667	0.9797691474
668	0.9783259865
669	0.9763556875
670	0.9746044631
671	0.9730348002
672	0.9723216209
673	0.9701060246
674	0.967008284
675	0.9655194339
676	0.9650632611
677	0.9631306599
678	0.9611096257
679	0.9592308045
680	0.9575816506
681	0.9564607468
682	0.9554240132
683	0.9542973296
684	0.9530674743
685	0.9510855328
686	0.9494079928
687	0.9473245963
688	0.9466340801
689	0.9458290522
690	0.9455609794
691	0.9434435744
692	0.9408118327
693	0.9389006055
694	0.9384314397
695	0.9377786277
696	0.9373411923
697	0.9367648419
698	0.9343315525
699	0.932891219
700	0.9321182157
701	0.9317596614
702	0.9294145048
703	0.9274494632
704	0.9260734895
705	0.9239185465
706	0.9219797681
707	0.9216909739
708	0.9201684527
709	0.9192350989
710	0.9177222138
711	0.9176201969
712	0.9157472117
713	0.9138145273
714	0.9120269369
715	0.9100462222
716	0.9081282549
717	0.9057680078
718	0.9047209229
719	0.9026915405
720	0.9008924833
721	0.8996267545
722	0.8982542033
723	0.8967542169
724	0.8960080405
725	0.8953134897
726	0.8933702336
727	0.8918233049
728	0.8904537975
729	0.8899127116
730	0.8893676419
731	0.8875934373
732	0.8859487996
733	0.8856388739
734	0.8841044002
735	0.8830108599
736	0.8818304111
737	0.8807677372
738	0.8794174145
739	0.8791705051
740	0.8772773039
741	0.8762346992
742	0.8750973964
743	0.8731259765
744	0.8710402288
745	0.8695377186
746	0.8679707457
747	0.8669840975
748	0.8661412425
749	0.8651381668
750	0.863082525
751	0.8618065673
752	0.8609619246
753	0.8596671416
754	0.8591747874
755	0.8589119688
756	0.8580960809
757	0.8563314674
758	0.8555476873
759	0.8541906797
760	0.8528716145
761	0.8519336104
762	0.8514002954
763	0.8497834087
764	0.8493462891
765	0.8478986802
766	0.8473513587
767	0.8455947445
768	0.8447653144
769	0.8432750223
770	0.8419461055
771	0.8414358767
772	0.8397812029
773	0.8393293976
774	0.8375017735
775	0.8359307487
776	0.8336281503
777	0.8318907616
778	0.8301658593
779	0.8287199904
780	0.8268434564
781	0.8253384841
782	0.8242608315
783	0.8226361357
784	0.8218550714
785	0.820567394
786	0.8191830141
787	0.8181346818
788	0.8166351881
789	0.8149220509
790	0.813277715
791	0.8129675292
792	0.8111392418
793	0.810133176
794	0.8083398264
795	0.8065771814
796	0.8053426149
797	0.804015715
798	0.802263439
799	0.8011356996
800	0.7994059371
801	0.7973259955
802	0.7956587134
803	0.7945343026
804	0.7941388052
805	0.7933926487
806	0.7919028325
807	0.791024342
808	0.7902710466
809	0.7887993401
810	0.7880890139
811	0.786101217
812	0.7847540535
813	0.7837612314
814	0.7829153421
815	0.7806879679
816	0.7793135822
817	0.7784728867
818	0.776958824
819	0.7764504392
820	0.7756762453
821	0.7742080849
822	0.7737847603
823	0.7726743194
824	0.7710409706
825	0.7697831706
826	0.7693619387
827	0.7678758678
828	0.7663484167
829	0.7661275672
830	0.7646368981
831	0.7628747272
832	0.7624538994
833	0.7615205208
834	0.760130311
835	0.7597046283
836	0.7582772419
837	0.7574296562
838	0.7568837676
839	0.7560402152
840	0.755364835
841	0.7547024611
842	0.7536135821
843	0.7520516314
844	0.7507202361
845	0.7488370911
846	0.7480999271
847	0.7476674642
848	0.7468306052
849	0.7454740416
850	0.7445508563
851	0.7429271677
852	0.741481681
853	0.7412592116
854	0.7405355187
855	0.7395474597
856	0.7383864531
857	0.7371462728
858	0.7355109189
859	0.7340003036
860	0.7328881347
861	0.7313697081
862	0.7304811469
863	0.729609759
864	0.7291437864
865	0.7280195261
866	0.726659282
867	0.7263969233
868	0.7253411317
869	0.7245967255
870	0.7235200723
871	0.7228148313
872	0.7212882686
873	0.7203163781
874	0.7202336592
875	0.7198610763
876	0.719286321
877	0.7191198653
878	0.7177750035
879	0.7175047877
880	0.7161661393
881	0.7146944834
882	0.7132874498
883	0.7123857669
884	0.7114236937
885	0.7106590662
886	0.7103246789
887	0.7092156896
888	0.7089108777
889	0.7078100776
890	0.7071481478
891	0.7066835262
892	0.7060572116
893	0.7057842034
894	0.7050954357
895	0.7044657253
896	0.7031902714
897	0.7024870581
898	0.7013341796
899	0.700079674
900	0.6997408903
901	0.6988281094
902	0.6976888726
903	0.6974378794
904	0.6963384993
905	0.6952960008
906	0.6947349201
907	0.6936679087
908	0.6923250454
909	0.692073519
910	0.6907737487
911	0.6893118477
912	0.6880857938
913	0.6865484159
914	0.6853929294
915	0.6843686672
916	0.6832169437
917	0.6815554305
918	0.6807513863
919	0.6797163897
920	0.6783062394
921	0.6770547598
922	0.6763954458
923	0.6756859796
924	0.6755602807
925	0.6750878556
926	0.6746655904
927	0.6739255167
928	0.6729060513
929	0.6717121744
930	0.6701240342
931	0.6689411725
932	0.6674342404
933	0.6667447961
934	0.6665373526
935	0.6659243033
936	0.6658099208
937	0.6644860327
938	0.6634331056
939	0.6629754286
940	0.662877621
941	0.6627175963
942	0.6619610016
943	0.6612740926
944	0.659960737
945	0.6592962274
946	0.6582696179
947	0.6580315785
948	0.6578861818
949	0.6566251312
950	0.6558629385
951	0.6547560574
952	0.6541609386
953	0.6533629024
954	0.6521654648
955	0.6514980861
956	0.6512132628
957	0.6505489984
958	0.6500554612
959	0.6491656291
960	0.6485378785
961	0.647397481
962	0.6467183954
963	0.645802107
964	0.6450423231
965	0.6441168515
966	0.6427712941
967	0.6421297768
968	0.6410026256
969	0.6407886416
970	0.6395244354
971	0.6385049656
972	0.6376432539
973	0.636556758
974	0.6364733746
975	0.6356780356
976	0.6355131803
977	0.6343474685
978	0.6341480021
979	0.6329552127
980	0.6321105902
981	0.6315893115
982	0.6313769691
983	0.6307047353
984	0.6302524317
985	0.629890749
986	0.6289079656
987	0.6279049521
988	0.6268937879
989	0.6259559136
990	0.6257952922
991	0.6246900064
992	0.6235983632
993	0.6232138464
994	0.623152466
995	0.6223717827
996	0.6210769232
997	0.619835058
998	0.6193096235
999	0.6182238076
